Gen 1:   aveUtil = 102.542
Gen 2:   aveUtil = 108.867
Gen 3:   aveUtil = 114.821
Gen 4:   aveUtil = 121.187
Gen 5:   aveUtil = 128.863
Gen 6:   aveUtil = 139.031
Gen 7:   aveUtil = 146.655
Gen 8:   aveUtil = 154.941
Gen 9:   aveUtil = 161.246
Gen 10:   aveUtil = 167.226
Gen 11:   aveUtil = 173.925
Gen 12:   aveUtil = 179.618
Gen 13:   aveUtil = 187.372
Gen 14:   aveUtil = 192.927
Gen 15:   aveUtil = 201.625
Gen 16:   aveUtil = 208.527
Gen 17:   aveUtil = 215.053
Gen 18:   aveUtil = 220.475
Gen 19:   aveUtil = 225.96
Gen 20:   aveUtil = 230.012
Gen 21:   aveUtil = 235.422
Gen 22:   aveUtil = 238.584
Gen 23:   aveUtil = 242.279
Gen 24:   aveUtil = 245.31
Gen 25:   aveUtil = 253.403
Gen 26:   aveUtil = 253.362
Gen 27:   aveUtil = 252.685
Gen 28:   aveUtil = 254.828
Gen 29:   aveUtil = 258.86
Gen 30:   aveUtil = 260.19
Gen 31:   aveUtil = 260.936
Gen 32:   aveUtil = 259.478
Gen 33:   aveUtil = 264.781
Gen 34:   aveUtil = 267.734
Gen 35:   aveUtil = 270.331
Gen 36:   aveUtil = 271.632
Gen 37:   aveUtil = 272.556
Gen 38:   aveUtil = 278.243
Gen 39:   aveUtil = 279.88
Gen 40:   aveUtil = 284.212
Gen 41:   aveUtil = 279.078
Gen 42:   aveUtil = 282.6
Gen 43:   aveUtil = 287.122
Gen 44:   aveUtil = 289.178
Gen 45:   aveUtil = 285.708
Gen 46:   aveUtil = 285.447
Gen 47:   aveUtil = 292.69
Gen 48:   aveUtil = 296.219
Gen 49:   aveUtil = 300.697
Gen 50:   aveUtil = 298.43
Gen 51:   aveUtil = 299.821
Gen 52:   aveUtil = 300.461
Gen 53:   aveUtil = 302.288
Gen 54:   aveUtil = 307.408
Gen 55:   aveUtil = 312.293
Gen 56:   aveUtil = 308.334
Gen 57:   aveUtil = 311.956
Gen 58:   aveUtil = 310.493
Gen 59:   aveUtil = 310.962
Gen 60:   aveUtil = 316.84
