Gen 1:    aveUtil = 102.519
Gen 2:    aveUtil = 106.045
Gen 3:    aveUtil = 112.62
Gen 4:    aveUtil = 119.691
Gen 5:    aveUtil = 126.586
Gen 6:    aveUtil = 133.25
Gen 7:    aveUtil = 139.226
Gen 8:    aveUtil = 146.936
Gen 9:    aveUtil = 155.106
Gen 10:    aveUtil = 161.72
Gen 11:    aveUtil = 168.065
Gen 12:    aveUtil = 175.305
Gen 13:    aveUtil = 182.571
Gen 14:    aveUtil = 190.172
Gen 15:    aveUtil = 197.308
Gen 16:    aveUtil = 202.857
Gen 17:    aveUtil = 211.098
Gen 18:    aveUtil = 218.872
Gen 19:    aveUtil = 224.395
Gen 20:    aveUtil = 230.75
Gen 21:    aveUtil = 235.199
Gen 22:    aveUtil = 240.239
Gen 23:    aveUtil = 243.517
Gen 24:    aveUtil = 250.088
Gen 25:    aveUtil = 253.399
Gen 26:    aveUtil = 257.8
Gen 27:    aveUtil = 261.343
Gen 28:    aveUtil = 267.792
Gen 29:    aveUtil = 270.322
Gen 30:    aveUtil = 273.377
Gen 31:    aveUtil = 276.028
Gen 32:    aveUtil = 276.607
Gen 33:    aveUtil = 278.653
Gen 34:    aveUtil = 284.817
Gen 35:    aveUtil = 282.822
Gen 36:    aveUtil = 284.427
Gen 37:    aveUtil = 289.344
Gen 38:    aveUtil = 285.074
Gen 39:    aveUtil = 289.397
Gen 40:    aveUtil = 290.454
Gen 41:    aveUtil = 292.916
Gen 42:    aveUtil = 295.34
Gen 43:    aveUtil = 298.072
Gen 44:    aveUtil = 302.0
Gen 45:    aveUtil = 300.295
Gen 46:    aveUtil = 302.33
Gen 47:    aveUtil = 308.481
Gen 48:    aveUtil = 306.814
Gen 49:    aveUtil = 314.61
Gen 50:    aveUtil = 316.183
Gen 51:    aveUtil = 321.678
Gen 52:    aveUtil = 321.062
Gen 53:    aveUtil = 326.415
Gen 54:    aveUtil = 325.454
Gen 55:    aveUtil = 332.311
Gen 56:    aveUtil = 330.611
Gen 57:    aveUtil = 332.587
Gen 58:    aveUtil = 331.99
Gen 59:    aveUtil = 340.676
Gen 60:    aveUtil = 337.877
Gen 61:    aveUtil = 339.588
Gen 62:    aveUtil = 340.395
Gen 63:    aveUtil = 341.532
Gen 64:    aveUtil = 342.529
Gen 65:    aveUtil = 341.944
Gen 66:    aveUtil = 341.548
Gen 67:    aveUtil = 346.936
Gen 68:    aveUtil = 352.205
Gen 69:    aveUtil = 345.929
Gen 70:    aveUtil = 349.056
Gen 71:    aveUtil = 351.959
Gen 72:    aveUtil = 348.85
Gen 73:    aveUtil = 353.243
Gen 74:    aveUtil = 352.096
Gen 75:    aveUtil = 353.678
Gen 76:    aveUtil = 355.232
Gen 77:    aveUtil = 354.572
Gen 78:    aveUtil = 358.82
Gen 79:    aveUtil = 357.466
Gen 80:    aveUtil = 358.964
