Gen 178:   aveUtil = 486.995
Gen 179:   aveUtil = 490.373
Gen 180:   aveUtil = 488.92
Gen 181:   aveUtil = 488.58
Gen 182:   aveUtil = 490.544
Gen 183:   aveUtil = 491.811
Gen 184:   aveUtil = 492.114
Gen 185:   aveUtil = 493.67
Gen 186:   aveUtil = 490.933
Gen 187:   aveUtil = 492.748
Gen 188:   aveUtil = 496.711
Gen 189:   aveUtil = 495.06
Gen 190:   aveUtil = 497.528
Gen 191:   aveUtil = 495.698
Gen 192:   aveUtil = 499.207
Gen 193:   aveUtil = 497.467
Gen 194:   aveUtil = 497.995
Gen 195:   aveUtil = 502.634
Gen 196:   aveUtil = 503.74
Gen 197:   aveUtil = 502.447
Gen 198:   aveUtil = 502.143
Gen 199:   aveUtil = 504.921
Gen 200:   aveUtil = 504.107
Gen 201:   aveUtil = 504.928
Gen 202:   aveUtil = 506.559
Gen 203:   aveUtil = 507.075
Gen 204:   aveUtil = 506.036
Gen 205:   aveUtil = 507.079
Gen 206:   aveUtil = 507.706
Gen 207:   aveUtil = 507.789
Gen 208:   aveUtil = 512.677
Gen 209:   aveUtil = 508.96
Gen 210:   aveUtil = 510.827
Gen 211:   aveUtil = 512.53
Gen 212:   aveUtil = 512.124
Gen 213:   aveUtil = 512.787
Gen 214:   aveUtil = 514.449
Gen 215:   aveUtil = 515.373
Gen 216:   aveUtil = 519.073
Gen 217:   aveUtil = 519.314
Gen 218:   aveUtil = 518.253
Gen 219:   aveUtil = 516.813
Gen 220:   aveUtil = 518.991
Gen 221:   aveUtil = 519.231
Gen 222:   aveUtil = 520.577
Gen 223:   aveUtil = 520.969
Gen 224:   aveUtil = 522.587
Gen 225:   aveUtil = 522.047
Gen 226:   aveUtil = 522.487
Gen 227:   aveUtil = 520.695
Gen 228:   aveUtil = 522.213
Gen 229:   aveUtil = 523.842
Gen 230:   aveUtil = 523.506
Gen 231:   aveUtil = 526.901
Gen 232:   aveUtil = 525.58
Gen 233:   aveUtil = 529.763
Gen 234:   aveUtil = 529.03
Gen 235:   aveUtil = 527.942
Gen 236:   aveUtil = 532.363
Gen 237:   aveUtil = 530.747
Gen 238:   aveUtil = 533.629
Gen 239:   aveUtil = 534.177
Gen 240:   aveUtil = 534.577
Gen 241:   aveUtil = 536.009
Gen 242:   aveUtil = 534.334
Gen 243:   aveUtil = 534.033
Gen 244:   aveUtil = 533.229
Gen 245:   aveUtil = 534.267
Gen 246:   aveUtil = 532.328
Gen 247:   aveUtil = 532.199
Gen 248:   aveUtil = 538.866
Gen 249:   aveUtil = 537.661
Gen 250:   aveUtil = 538.249
Gen 251:   aveUtil = 535.178
Gen 252:   aveUtil = 540.234
Gen 253:   aveUtil = 539.504
Gen 254:   aveUtil = 537.863
Gen 255:   aveUtil = 538.078
Gen 256:   aveUtil = 537.44
Gen 257:   aveUtil = 541.132
Gen 258:   aveUtil = 539.665
Gen 259:   aveUtil = 540.212
Gen 260:   aveUtil = 543.912
Gen 261:   aveUtil = 543.161
Gen 262:   aveUtil = 542.741
Gen 263:   aveUtil = 542.243
Gen 264:   aveUtil = 541.207
Gen 265:   aveUtil = 541.861
Gen 266:   aveUtil = 541.494
Gen 267:   aveUtil = 541.042
Gen 268:   aveUtil = 545.176
Gen 269:   aveUtil = 545.381
Gen 270:   aveUtil = 544.707
Gen 271:   aveUtil = 546.889
Gen 272:   aveUtil = 545.335
Gen 273:   aveUtil = 545.785
Gen 274:   aveUtil = 546.871
Gen 275:   aveUtil = 547.693
Gen 276:   aveUtil = 549.242
Gen 277:   aveUtil = 549.378
Gen 278:   aveUtil = 551.796
Gen 279:   aveUtil = 551.296
Gen 280:   aveUtil = 552.404
Gen 281:   aveUtil = 551.093
Gen 282:   aveUtil = 553.838
Gen 283:   aveUtil = 552.575
Gen 284:   aveUtil = 554.661
Gen 285:   aveUtil = 553.884
Gen 286:   aveUtil = 555.257
Gen 287:   aveUtil = 554.992
Gen 288:   aveUtil = 557.514
Gen 289:   aveUtil = 557.288
Gen 290:   aveUtil = 556.72
Gen 291:   aveUtil = 557.705
Gen 292:   aveUtil = 558.893
