Gen 178:    aveUtil = 460.871
Gen 179:    aveUtil = 461.015
Gen 180:    aveUtil = 462.844
Gen 181:    aveUtil = 464.056
Gen 182:    aveUtil = 466.3
Gen 183:    aveUtil = 468.374
Gen 184:    aveUtil = 467.398
Gen 185:    aveUtil = 462.851
Gen 186:    aveUtil = 466.541
Gen 187:    aveUtil = 464.215
Gen 188:    aveUtil = 468.064
Gen 189:    aveUtil = 468.68
Gen 190:    aveUtil = 469.831
Gen 191:    aveUtil = 471.468
Gen 192:    aveUtil = 471.848
Gen 193:    aveUtil = 470.762
Gen 194:    aveUtil = 469.978
Gen 195:    aveUtil = 471.973
Gen 196:    aveUtil = 469.672
Gen 197:    aveUtil = 471.735
Gen 198:    aveUtil = 471.804
Gen 199:    aveUtil = 469.575
Gen 200:    aveUtil = 467.726
Gen 201:    aveUtil = 466.773
Gen 202:    aveUtil = 472.548
Gen 203:    aveUtil = 470.344
Gen 204:    aveUtil = 468.641
Gen 205:    aveUtil = 469.159
Gen 206:    aveUtil = 468.958
Gen 207:    aveUtil = 475.076
Gen 208:    aveUtil = 472.961
Gen 209:    aveUtil = 470.468
Gen 210:    aveUtil = 473.263
Gen 211:    aveUtil = 473.338
Gen 212:    aveUtil = 474.687
Gen 213:    aveUtil = 474.263
Gen 214:    aveUtil = 477.496
Gen 215:    aveUtil = 475.887
Gen 216:    aveUtil = 474.421
Gen 217:    aveUtil = 474.641
Gen 218:    aveUtil = 473.638
Gen 219:    aveUtil = 471.659
Gen 220:    aveUtil = 474.387
Gen 221:    aveUtil = 477.251
Gen 222:    aveUtil = 476.856
Gen 223:    aveUtil = 475.053
Gen 224:    aveUtil = 471.875
Gen 225:    aveUtil = 476.805
Gen 226:    aveUtil = 478.374
Gen 227:    aveUtil = 481.769
Gen 228:    aveUtil = 480.39
Gen 229:    aveUtil = 483.066
Gen 230:    aveUtil = 483.12
Gen 231:    aveUtil = 485.431
Gen 232:    aveUtil = 481.805
Gen 233:    aveUtil = 485.226
Gen 234:    aveUtil = 484.1
Gen 235:    aveUtil = 482.182
Gen 236:    aveUtil = 486.609
Gen 237:    aveUtil = 487.753
Gen 238:    aveUtil = 487.23
Gen 239:    aveUtil = 488.181
Gen 240:    aveUtil = 487.092
Gen 241:    aveUtil = 492.238
Gen 242:    aveUtil = 490.869
Gen 243:    aveUtil = 491.78
Gen 244:    aveUtil = 488.881
Gen 245:    aveUtil = 492.976
Gen 246:    aveUtil = 484.862
Gen 247:    aveUtil = 487.983
Gen 248:    aveUtil = 489.821
Gen 249:    aveUtil = 488.04
Gen 250:    aveUtil = 490.893
Gen 251:    aveUtil = 490.444
Gen 252:    aveUtil = 493.243
Gen 253:    aveUtil = 497.508
Gen 254:    aveUtil = 492.336
Gen 255:    aveUtil = 496.875
Gen 256:    aveUtil = 493.539
Gen 257:    aveUtil = 495.354
Gen 258:    aveUtil = 492.241
Gen 259:    aveUtil = 494.402
Gen 260:    aveUtil = 495.404
Gen 261:    aveUtil = 496.951
Gen 262:    aveUtil = 499.651
Gen 263:    aveUtil = 499.95
Gen 264:    aveUtil = 495.212
Gen 265:    aveUtil = 494.87
Gen 266:    aveUtil = 500.505
Gen 267:    aveUtil = 499.94
Gen 268:    aveUtil = 494.924
Gen 269:    aveUtil = 499.732
Gen 270:    aveUtil = 499.898
Gen 271:    aveUtil = 501.094
Gen 272:    aveUtil = 501.598
Gen 273:    aveUtil = 500.281
Gen 274:    aveUtil = 500.12
Gen 275:    aveUtil = 504.504
Gen 276:    aveUtil = 507.938
Gen 277:    aveUtil = 504.708
Gen 278:    aveUtil = 498.998
Gen 279:    aveUtil = 504.765
Gen 280:    aveUtil = 504.399
Gen 281:    aveUtil = 505.599
Gen 282:    aveUtil = 503.54
Gen 283:    aveUtil = 504.673
Gen 284:    aveUtil = 507.636
Gen 285:    aveUtil = 506.333
Gen 286:    aveUtil = 504.946
Gen 287:    aveUtil = 508.404
Gen 288:    aveUtil = 505.586
Gen 289:    aveUtil = 506.576
Gen 290:    aveUtil = 506.733
Gen 291:    aveUtil = 509.524
Gen 292:    aveUtil = 510.685
Gen 293:    aveUtil = 508.4
Gen 294:    aveUtil = 508.035
Gen 295:    aveUtil = 512.131
Gen 296:    aveUtil = 510.034
Gen 297:    aveUtil = 512.754
Gen 298:    aveUtil = 515.05
Gen 299:    aveUtil = 515.122
Gen 300:    aveUtil = 515.362
Gen 301:    aveUtil = 515.011
Gen 302:    aveUtil = 518.261
Gen 303:    aveUtil = 518.151
Gen 304:    aveUtil = 519.37
Gen 305:    aveUtil = 517.815
Gen 306:    aveUtil = 520.917
Gen 307:    aveUtil = 517.916
Gen 308:    aveUtil = 521.052
Gen 309:    aveUtil = 516.893
Gen 310:    aveUtil = 516.014
Gen 311:    aveUtil = 514.326
Gen 312:    aveUtil = 511.95
Gen 313:    aveUtil = 514.89
Gen 314:    aveUtil = 513.261
Gen 315:    aveUtil = 513.006
Gen 316:    aveUtil = 512.35
Gen 317:    aveUtil = 515.485
Gen 318:    aveUtil = 518.655
Gen 319:    aveUtil = 520.445
Gen 320:    aveUtil = 518.719
Gen 321:    aveUtil = 518.821
Gen 322:    aveUtil = 522.324
Gen 323:    aveUtil = 522.701
Gen 324:    aveUtil = 523.422
Gen 325:    aveUtil = 524.279
Gen 326:    aveUtil = 523.99
Gen 327:    aveUtil = 523.714
Gen 328:    aveUtil = 526.673
Gen 329:    aveUtil = 523.108
Gen 330:    aveUtil = 524.628
Gen 331:    aveUtil = 522.366
Gen 332:    aveUtil = 524.737
Gen 333:    aveUtil = 525.385
Gen 334:    aveUtil = 524.033
Gen 335:    aveUtil = 524.192
Gen 336:    aveUtil = 523.395
Gen 337:    aveUtil = 522.469
Gen 338:    aveUtil = 522.285
Gen 339:    aveUtil = 526.425
Gen 340:    aveUtil = 526.388
Gen 341:    aveUtil = 523.027
Gen 342:    aveUtil = 525.014
Gen 343:    aveUtil = 528.071
Gen 344:    aveUtil = 529.719
Gen 345:    aveUtil = 527.087
Gen 346:    aveUtil = 526.431
Gen 347:    aveUtil = 523.274
Gen 348:    aveUtil = 527.319
Gen 349:    aveUtil = 524.583
Gen 350:    aveUtil = 523.405
Gen 351:    aveUtil = 525.788
Gen 352:    aveUtil = 526.312
Gen 353:    aveUtil = 525.86
Gen 354:    aveUtil = 531.24
Gen 355:    aveUtil = 528.703
Gen 356:    aveUtil = 528.1
Gen 357:    aveUtil = 527.512
Gen 358:    aveUtil = 527.119
Gen 359:    aveUtil = 527.789
Gen 360:    aveUtil = 530.332
Gen 361:    aveUtil = 526.887
Gen 362:    aveUtil = 531.234
Gen 363:    aveUtil = 528.511
Gen 364:    aveUtil = 528.869
Gen 365:    aveUtil = 526.107
Gen 366:    aveUtil = 529.091
Gen 367:    aveUtil = 530.429
Gen 368:    aveUtil = 534.036
Gen 369:    aveUtil = 529.383
Gen 370:    aveUtil = 531.68
Gen 371:    aveUtil = 534.449
Gen 372:    aveUtil = 528.976
Gen 373:    aveUtil = 533.067
Gen 374:    aveUtil = 528.875
Gen 375:    aveUtil = 526.113
Gen 376:    aveUtil = 530.371
Gen 377:    aveUtil = 529.164
Gen 378:    aveUtil = 527.602
Gen 379:    aveUtil = 529.523
Gen 380:    aveUtil = 531.533
Gen 381:    aveUtil = 530.715
Gen 382:    aveUtil = 530.816
