Gen 148:    aveUtil = 380.70419999999996
Gen 149:    aveUtil = 386.5331999999999
Gen 150:    aveUtil = 382.86679999999984
Gen 151:    aveUtil = 383.7077999999996
Gen 152:    aveUtil = 386.1727999999999
Gen 153:    aveUtil = 383.81159999999977
Gen 154:    aveUtil = 389.08899999999966
Gen 155:    aveUtil = 388.9601999999998
Gen 156:    aveUtil = 395.28680000000026
Gen 157:    aveUtil = 392.7384000000006
Gen 158:    aveUtil = 391.7468000000005
Gen 159:    aveUtil = 389.28000000000026
Gen 160:    aveUtil = 391.3845999999999
Gen 161:    aveUtil = 392.3284000000001
Gen 162:    aveUtil = 392.96
Gen 163:    aveUtil = 392.20860000000016
Gen 164:    aveUtil = 388.7876
Gen 165:    aveUtil = 392.4964000000004
Gen 166:    aveUtil = 389.0190000000002
Gen 167:    aveUtil = 393.5205999999998
Gen 168:    aveUtil = 394.02060000000023
Gen 169:    aveUtil = 394.7884000000002
Gen 170:    aveUtil = 386.8024000000001
Gen 171:    aveUtil = 393.8052000000003
Gen 172:    aveUtil = 399.9486000000002
Gen 173:    aveUtil = 392.8695999999998
Gen 174:    aveUtil = 394.74639999999994
Gen 175:    aveUtil = 397.9026
Gen 176:    aveUtil = 396.30240000000015
Gen 177:    aveUtil = 397.3578000000002
Gen 178:    aveUtil = 393.9672000000005
Gen 179:    aveUtil = 399.89340000000044
Gen 180:    aveUtil = 397.16580000000005
Gen 181:    aveUtil = 393.06360000000006
Gen 182:    aveUtil = 392.75440000000003
Gen 183:    aveUtil = 393.9602000000002
Gen 184:    aveUtil = 394.55020000000036
Gen 185:    aveUtil = 397.37000000000035
Gen 186:    aveUtil = 400.6488000000007
Gen 187:    aveUtil = 403.30719999999957
Gen 188:    aveUtil = 399.50439999999946
Gen 189:    aveUtil = 392.9213999999994
Gen 190:    aveUtil = 400.4557999999994
Gen 191:    aveUtil = 396.3757999999997
Gen 192:    aveUtil = 401.27279999999956
Gen 193:    aveUtil = 410.63539999999944
Gen 194:    aveUtil = 404.76819999999935
Gen 195:    aveUtil = 406.35179999999974
Gen 196:    aveUtil = 404.88379999999955
Gen 197:    aveUtil = 402.6227999999997
Gen 198:    aveUtil = 399.54659999999996
Gen 199:    aveUtil = 406.99519999999967
Gen 200:    aveUtil = 397.3291999999999
Gen 201:    aveUtil = 397.789
Gen 202:    aveUtil = 407.6916000000003
Gen 203:    aveUtil = 402.20019999999977
Gen 204:    aveUtil = 401.71580000000006
Gen 205:    aveUtil = 405.8339999999999
Gen 206:    aveUtil = 400.67159999999984
Gen 207:    aveUtil = 404.8199999999998
Gen 208:    aveUtil = 404.69559999999973
Gen 209:    aveUtil = 406.9860000000004
Gen 210:    aveUtil = 406.3136000000003
Gen 211:    aveUtil = 410.5938000000006
Gen 212:    aveUtil = 412.0484000000003
Gen 213:    aveUtil = 411.44420000000036
Gen 214:    aveUtil = 411.97140000000053
Gen 215:    aveUtil = 407.5827999999998
Gen 216:    aveUtil = 411.3794000000003
Gen 217:    aveUtil = 408.8576000000005
Gen 218:    aveUtil = 409.50780000000043
Gen 219:    aveUtil = 413.61580000000083
Gen 220:    aveUtil = 414.40880000000044
Gen 221:    aveUtil = 412.0994000000002
Gen 222:    aveUtil = 416.1232000000002
Gen 223:    aveUtil = 418.0876000000005
Gen 224:    aveUtil = 415.0072000000003
Gen 225:    aveUtil = 417.5192
Gen 226:    aveUtil = 411.60419999999993
Gen 227:    aveUtil = 416.8212000000004
Gen 228:    aveUtil = 421.98480000000006
Gen 229:    aveUtil = 419.35959999999983
Gen 230:    aveUtil = 417.20940000000064
Gen 231:    aveUtil = 414.69320000000084
Gen 232:    aveUtil = 418.19100000000026
Gen 233:    aveUtil = 424.16639999999984
Gen 234:    aveUtil = 419.97839999999974
Gen 235:    aveUtil = 417.5943999999996
Gen 236:    aveUtil = 425.43439999999987
Gen 237:    aveUtil = 419.00139999999993
Gen 238:    aveUtil = 417.2130000000001
Gen 239:    aveUtil = 413.9276000000001
Gen 240:    aveUtil = 413.1852000000004
Gen 241:    aveUtil = 418.0294000000001
Gen 242:    aveUtil = 412.49520000000047
Gen 243:    aveUtil = 411.24780000000055
Gen 244:    aveUtil = 413.5680000000001
Gen 245:    aveUtil = 405.3370000000001
Gen 246:    aveUtil = 418.2659999999998
Gen 247:    aveUtil = 411.1926000000003
Gen 248:    aveUtil = 411.9186000000004
Gen 249:    aveUtil = 414.8326000000006
Gen 250:    aveUtil = 412.6424000000001
Gen 251:    aveUtil = 413.8871999999998
Gen 252:    aveUtil = 421.82639999999986
Gen 253:    aveUtil = 427.1093999999999
Gen 254:    aveUtil = 424.82780000000014
Gen 255:    aveUtil = 427.39219999999995
Gen 256:    aveUtil = 427.7278000000004
Gen 257:    aveUtil = 429.2877999999998
Gen 258:    aveUtil = 430.43339999999984
Gen 259:    aveUtil = 426.0578
Gen 260:    aveUtil = 425.9066000000001
Gen 261:    aveUtil = 428.81180000000035
Gen 262:    aveUtil = 421.9648
Gen 263:    aveUtil = 429.2249999999996
Gen 264:    aveUtil = 428.9421999999995
Gen 265:    aveUtil = 424.41540000000015
Gen 266:    aveUtil = 426.51559999999944
Gen 267:    aveUtil = 431.41419999999965
Gen 268:    aveUtil = 433.0001999999993
Gen 269:    aveUtil = 425.0659999999989
Gen 270:    aveUtil = 432.0341999999993
Gen 271:    aveUtil = 431.9963999999993
Gen 272:    aveUtil = 430.63099999999974
Gen 273:    aveUtil = 430.0491999999995
Gen 274:    aveUtil = 435.5975999999995
Gen 275:    aveUtil = 431.7423999999996
Gen 276:    aveUtil = 428.9477999999994
Gen 277:    aveUtil = 434.1915999999993
Gen 278:    aveUtil = 433.1325999999992
Gen 279:    aveUtil = 428.32639999999924
Gen 280:    aveUtil = 427.66939999999937
Gen 281:    aveUtil = 440.4943999999997
Gen 282:    aveUtil = 433.3217999999998
Gen 283:    aveUtil = 436.4169999999998
Gen 284:    aveUtil = 435.7956000000001
Gen 285:    aveUtil = 435.16560000000004
Gen 286:    aveUtil = 435.59660000000014
Gen 287:    aveUtil = 437.4658000000003
Gen 288:    aveUtil = 434.57359999999983
Gen 289:    aveUtil = 437.95739999999967
Gen 290:    aveUtil = 433.2805999999999
Gen 291:    aveUtil = 429.88180000000017
Gen 292:    aveUtil = 437.6510000000002
Gen 293:    aveUtil = 433.7937999999999
Gen 294:    aveUtil = 430.713
Gen 295:    aveUtil = 431.6538000000003
